Passengerid,Age,Fare,Sex,sibsp,zero,zero.1,zero.2,zero.3,zero.4,zero.5,zero.6,Parch,zero.7,zero.8,zero.9,zero.10,zero.11,zero.12,zero.13,zero.14,Pclass,zero.15,zero.16,Embarked,zero.17,zero.18,2urvived
51,38,60,40,27,45,48,64,56,46,59,52,41,74,63,51,67,72,57,73,50,55,35,54,37,68,62,54
30,31,61,39,47,31,40,63,55,50,67,48,61,63,65,25,17,41,39,46,18,73,46,23,64,62,23,48
63,49,90,38,44,50,61,61,44,58,69,73,62,60,75,58,72,35,38,59,66,62,42,53,37,44,44,30
66,36,64,56,51,45,50,62,47,43,67,62,27,67,54,58,58,34,38,32,21,54,35,46,52,54,22,50
45,50,38,25,37,56,47,33,38,42,70,58,34,73,49,42,24,47,52,47,52,24,61,58,47,31,34,58
56,52,46,59,36,6,56,66,43,51,60,57,36,65,40,65,66,83,44,24,52,56,46,44,39,49,84,48
22,44,71,50,59,53,20,38,46,13,57,29,58,72,41,50,25,55,49,50,36,72,63,38,67,42,29,30
67,9,34,47,31,47,56,71,33,46,43,45,22,51,71,57,52,53,70,52,38,78,63,51,51,62,24,58
24,58,53,41,66,57,44,39,54,69,56,75,72,39,31,44,67,41,53,31,29,37,28,64,54,40,62,43
48,45,34,30,70,44,81,48,43,53,15,34,59,54,35,36,90,85,54,52,41,67,29,22,31,42,43,41
29,60,32,28,65,53,57,53,72,52,37,16,59,74,81,60,49,39,68,58,45,60,40,81,76,48,69,57
24,41,80,62,69,32,61,48,29,48,51,57,51,45,33,70,51,37,16,55,14,68,55,18,69,17,58,63
62,63,57,64,49,47,61,46,54,53,75,74,47,38,66,40,69,31,71,31,54,54,37,39,59,47,61,48
0,40,32,48,37,59,58,45,45,54,49,44,54,76,39,48,57,39,62,34,49,63,29,18,50,63,54,56
33,50,54,37,60,28,42,52,53,63,32,25,39,27,27,41,67,45,64,64,49,52,27,52,43,30,43,47
64,34,22,51,37,30,41,46,72,54,37,72,62,38,39,42,47,43,39,45,60,77,60,47,44,58,37,55
76,46,48,49,65,67,65,54,25,50,31,30,39,29,43,43,49,68,31,37,70,58,24,56,58,38,48,31
68,45,38,57,47,64,28,35,38,34,57,57,71,19,41,34,49,49,60,94,36,41,54,53,58,35,30,62
63,35,49,35,44,49,54,51,25,37,51,60,51,27,44,50,59,42,33,29,41,27,36,69,46,58,37,69
42,68,78,31,12,63,35,67,28,33,35,45,59,34,58,64,60,61,43,64,58,41,44,36,61,48,59,59
42,62,27,45,53,27,30,55,54,42,42,51,51,50,38,72,36,35,21,47,61,61,74,36,65,8,73,85
25,73,60,38,44,17,51,56,39,59,44,56,59,56,38,48,16,60,3,54,44,64,49,42,80,59,29,63
63,70,59,54,48,38,38,22,39,75,35,43,41,58,54,52,66,50,52,44,26,69,50,62,50,41,41,30
35,64,35,60,63,26,46,68,34,76,72,41,43,59,50,63,22,51,66,36,69,38,67,32,54,34,73,36
36,39,65,53,67,59,34,43,36,67,83,16,60,51,63,40,38,24,49,41,37,51,44,49,37,74,10,62
75,32,66,38,58,70,59,48,48,45,71,45,62,47,63,37,71,66,35,42,38,40,40,45,85,42,68,61
26,50,51,74,38,78,38,32,27,19,44,37,52,53,21,65,49,25,49,37,46,52,65,26,36,37,53,64
54,74,69,42,69,53,35,21,57,23,30,54,59,40,54,38,55,23,35,60,32,51,76,45,68,42,14,75
61,35,51,43,57,36,47,58,94,68,53,60,34,56,22,61,39,44,66,62,69,42,57,56,44,53,47,49
63,71,30,61,48,47,21,37,54,50,66,41,76,49,43,28,86,69,63,35,70,68,39,21,42,56,45,28
56,28,52,73,62,24,60,45,57,65,30,39,51,13,49,69,54,83,18,52,56,44,53,21,57,53,28,45
38,58,39,34,48,58,55,68,18,26,19,49,48,45,54,46,58,49,65,46,33,61,78,50,56,45,54,38
60,57,45,54,60,51,46,18,65,61,15,48,38,33,45,41,21,65,58,31,30,45,63,40,47,41,50,17
51,53,54,44,41,48,70,42,44,60,34,51,58,32,51,45,34,21,30,39,45,35,62,38,46,19,58,63
59,39,34,75,44,65,56,59,42,62,55,51,25,41,55,29,45,73,42,72,35,55,61,55,25,49,48,50
58,51,63,60,47,23,74,77,52,60,49,35,46,46,41,62,58,31,50,56,59,45,74,46,40,48,34,44
79,29,61,63,47,47,52,41,68,60,48,50,48,39,49,72,34,52,57,67,75,72,44,35,63,54,43,47
55,60,43,68,32,57,51,65,50,33,22,32,51,-8,30,18,39,40,55,64,53,66,40,66,39,47,59,59
46,61,48,59,60,42,73,32,49,56,36,60,38,52,68,64,61,42,32,58,74,58,45,42,51,73,51,57
44,34,46,59,59,65,48,30,17,54,27,44,63,66,62,64,36,50,44,68,48,55,56,26,40,50,48,37
21,63,42,38,19,16,51,35,35,38,58,35,59,37,62,70,34,72,59,31,9,40,63,77,45,39,54,61
38,21,35,43,21,49,57,54,49,66,70,36,62,53,46,55,32,67,22,63,69,26,80,19,61,23,75,33
28,57,67,60,46,59,64,54,83,40,73,66,43,39,42,64,57,69,58,67,48,43,52,60,48,34,28,29
42,43,39,42,34,20,44,66,11,41,44,65,54,42,61,30,36,58,39,41,73,38,55,32,61,47,53,61
47,59,39,56,18,39,52,27,61,62,50,65,64,46,83,66,45,56,55,51,53,78,46,48,36,57,57,50
22,62,53,51,46,67,56,22,66,61,41,44,56,63,40,59,39,38,41,17,60,38,49,69,56,52,38,57
36,78,79,63,52,51,54,69,63,26,72,47,63,28,51,54,36,43,23,63,62,34,68,48,53,37,46,72
36,62,27,77,49,31,35,59,43,37,56,72,64,63,45,74,43,30,37,30,69,55,54,63,72,69,60,59
46,28,59,49,40,52,42,37,56,58,36,44,50,59,30,45,64,52,45,26,72,47,53,74,50,51,63,30
58,34,67,87,42,32,35,46,37,57,34,49,59,57,48,45,34,50,55,69,79,54,27,28,70,54,39,51
63,32,60,19,42,65,49,69,52,24,57,56,69,64,56,57,36,38,46,66,32,52,49,56,70,57,22,40
53,28,51,39,28,69,69,81,45,14,33,48,68,60,53,88,41,33,44,72,43,70,63,60,38,67,67,68
65,54,65,36,49,58,29,44,40,26,75,65,54,62,46,44,40,74,64,43,56,58,67,56,61,74,55,64
54,61,27,30,65,61,53,44,42,13,43,66,44,66,37,24,19,43,53,29,45,40,42,68,60,38,43,37
57,36,55,52,41,34,53,43,42,54,74,57,54,83,54,61,31,33,74,48,44,50,73,58,55,45,63,47
23,57,49,56,51,42,34,32,34,56,28,31,54,60,60,55,69,71,51,48,57,39,57,46,69,41,52,63
68,52,49,53,45,42,56,38,39,51,59,24,55,43,47,47,54,65,31,51,60,71,46,38,45,40,101,43
38,44,50,44,32,33,32,48,39,59,25,31,41,43,43,65,62,60,48,4,45,52,42,60,77,53,50,38
23,46,27,32,73,43,67,27,96,41,57,31,28,33,49,52,52,67,69,35,58,59,35,56,41,73,43,54
29,52,30,51,48,57,56,40,62,62,46,66,54,47,35,45,34,40,56,42,51,44,43,62,62,48,64,51
46,49,67,60,16,57,41,53,46,61,45,48,23,48,30,49,43,48,37,64,88,63,32,61,59,74,64,37
35,73,23,41,49,51,57,36,49,46,63,55,60,25,77,59,13,46,39,71,56,58,39,46,73,49,63,67
19,57,50,55,41,52,37,38,61,61,28,36,51,44,75,36,38,32,51,39,41,34,29,40,59,48,46,17
29,46,25,60,36,40,25,51,63,46,35,45,69,43,75,23,58,46,50,66,69,38,45,59,50,52,44,68
47,33,42,71,57,39,41,35,42,55,42,37,65,47,58,54,56,44,68,44,57,62,45,48,21,69,48,47
58,64,55,50,45,67,30,58,54,33,37,35,46,31,35,54,62,69,62,31,38,26,58,55,47,88,36,38
55,43,45,50,65,34,42,55,52,59,53,33,62,43,52,49,45,29,35,62,51,37,58,54,25,33,52,71
60,41,70,48,37,64,49,17,51,40,56,36,57,41,49,48,28,72,45,50,44,37,55,64,72,33,98,58
24,68,55,13,74,42,36,55,38,55,76,80,51,19,68,86,38,50,57,61,55,40,67,86,51,22,51,57
63,53,90,72,58,70,39,37,68,49,47,64,37,49,55,26,64,14,40,63,39,64,19,76,66,34,49,49
57,67,63,68,68,60,61,52,62,58,44,54,56,79,26,3,47,36,51,21,44,54,51,53,35,59,-4,33
63,34,62,40,29,38,70,49,35,45,44,32,32,24,38,75,49,40,39,76,41,48,64,59,53,6,35,42
56,63,30,64,55,68,44,59,32,64,64,37,68,47,31,37,45,59,74,51,63,67,32,54,44,52,56,58
56,67,55,44,52,74,32,78,41,50,62,70,42,43,36,69,42,84,58,59,56,42,50,20,64,37,51,51
46,74,50,25,88,65,52,35,62,46,18,30,67,39,53,66,74,71,61,51,54,23,43,60,55,46,35,35
24,22,43,35,61,50,58,40,39,41,75,49,49,42,72,46,50,42,40,53,60,68,52,57,44,57,51,37
64,56,44,30,40,56,45,66,58,38,35,58,39,27,41,23,36,60,46,70,71,55,75,62,54,60,49,22
39,62,57,58,36,34,60,19,34,48,48,44,39,37,58,42,36,66,66,36,49,41,55,59,44,71,63,50
63,45,26,40,50,42,31,35,74,39,34,27,73,43,24,34,36,57,20,53,57,17,76,56,17,58,63,24
30,45,63,52,59,45,53,45,51,39,41,65,62,53,63,50,58,72,53,54,53,56,33,37,55,48,42,87
53,49,31,40,28,41,59,30,44,31,58,28,56,35,61,65,53,52,54,53,56,60,40,91,32,46,54,54
48,71,57,59,52,41,53,60,65,39,38,49,31,39,67,84,46,36,26,55,36,91,52,25,53,72,66,73
50,45,59,73,84,77,25,48,36,55,55,40,67,35,60,38,52,52,54,61,21,47,52,44,48,72,35,61
39,84,49,55,52,33,48,40,44,74,73,45,63,38,54,49,45,24,40,36,30,50,62,33,11,28,41,67
58,32,29,23,33,38,16,25,30,45,56,65,48,44,45,55,37,33,46,48,41,27,60,62,55,35,60,28
49,44,39,56,77,50,55,51,47,43,51,43,45,48,44,39,37,36,34,28,30,31,54,39,62,60,51,73
62,52,28,49,73,43,51,48,39,27,35,64,20,48,66,36,56,58,71,63,40,41,88,43,47,49,62,70
47,77,62,67,32,64,63,31,65,46,29,61,56,49,47,61,52,54,37,40,62,51,45,42,88,70,63,48
54,70,63,46,70,64,47,37,58,36,47,39,51,50,41,40,48,57,51,57,66,17,49,41,52,36,84,46
45,62,73,63,37,45,70,60,38,44,46,30,81,60,38,40,64,44,33,46,86,59,21,65,35,56,35,60
59,45,75,42,54,37,61,39,39,27,43,61,40,63,58,53,41,37,54,51,72,33,43,37,43,60,49,65
63,25,29,54,46,53,62,32,51,40,50,54,41,62,40,42,21,67,48,48,60,30,62,51,52,56,88,50
26,47,37,33,66,54,57,25,43,54,23,46,64,33,75,72,52,38,71,63,33,69,71,24,36,61,28,31
55,61,42,34,41,59,72,29,57,30,63,29,72,72,44,63,39,57,56,39,62,46,48,51,49,37,35,32
46,68,63,32,47,33,55,57,57,67,41,47,47,61,66,63,61,36,57,54,47,55,62,39,57,58,61,64
33,32,35,47,50,54,58,71,32,73,50,58,48,43,37,52,61,62,28,66,55,58,71,49,58,46,31,45
43,49,41,32,44,38,58,40,41,24,35,20,15,39,45,84,38,37,40,56,72,68,30,53,42,31,49,63
78,44,35,63,59,59,52,56,74,24,66,51,48,30,69,40,62,43,81,44,35,5,24,30,60,45,53,42
43,50,59,54,16,65,50,27,78,48,49,62,80,62,75,44,52,51,75,42,38,49,60,52,42,60,64,42
46,38,31,85,41,47,66,36,61,49,52,41,18,41,46,47,74,39,34,50,49,46,59,24,75,65,36,39
55,41,35,38,44,28,72,32,42,57,64,36,45,32,34,58,36,56,58,51,39,40,62,36,56,30,55,47
51,42,42,33,59,50,59,57,87,52,49,47,79,54,54,72,39,57,78,55,52,73,33,63,28,49,45,53
47,39,41,54,59,55,55,43,42,70,36,42,48,47,17,49,44,41,68,39,53,21,30,37,50,42,34,49
55,23,55,37,48,52,52,45,58,72,72,36,24,29,34,47,48,67,14,25,52,81,93,68,48,55,52,42
27,62,67,39,72,44,63,67,64,56,65,39,38,67,33,48,37,33,53,31,36,56,65,39,41,41,61,41
43,70,46,51,68,47,35,45,55,75,54,43,59,43,33,64,40,86,29,82,35,72,20,27,48,56,54,46
58,77,34,17,53,76,24,51,42,26,35,35,54,77,42,73,32,18,80,69,20,51,56,35,69,19,60,36
50,44,39,52,43,45,46,38,37,46,65,12,42,36,58,40,67,38,55,39,53,47,50,56,18,58,43,53
63,82,70,52,50,55,25,44,65,55,52,46,63,50,76,49,69,53,32,32,22,46,48,62,42,41,32,33
44,64,48,47,52,68,51,33,54,57,69,39,61,47,35,70,27,69,38,51,40,50,31,60,70,74,67,41
34,36,27,36,64,57,56,60,51,53,39,38,39,60,51,43,38,39,40,62,39,42,61,70,69,55,44,44
32,43,59,70,42,49,92,40,66,40,50,34,35,64,62,53,59,38,56,63,36,24,55,69,36,33,58,44
75,57,11,66,34,51,68,54,74,49,53,73,64,57,77,30,76,39,48,29,59,53,60,46,47,45,20,56
41,49,61,68,52,55,43,33,41,51,47,24,22,72,53,50,26,44,59,74,63,42,64,56,53,74,47,14
71,44,28,43,64,41,40,67,31,34,64,73,68,47,61,68,60,19,63,57,55,40,55,16,55,43,52,34
32,31,51,56,51,37,55,43,54,44,38,46,24,32,62,72,48,41,64,53,56,55,40,51,47,21,59,78
66,25,51,61,45,49,29,27,33,30,32,33,52,42,59,59,62,67,42,59,72,47,44,51,55,66,77,48
63,68,86,48,68,47,37,34,56,58,43,53,35,40,61,59,45,70,39,57,50,41,57,62,71,46,35,20
39,48,64,89,23,66,70,62,54,25,50,79,53,56,49,60,39,51,59,45,64,59,48,31,12,47,46,38
24,17,64,18,55,59,50,59,68,44,68,57,55,74,44,51,31,36,39,59,58,40,58,63,53,70,64,38
34,60,70,54,52,48,51,64,66,47,52,64,46,55,30,51,55,27,38,46,63,56,24,45,69,36,38,51
32,68,10,50,64,50,16,20,52,55,54,61,45,51,94,-5,41,40,74,51,68,50,46,57,19,53,18,49
45,39,37,44,42,54,48,43,38,67,24,44,40,38,40,60,51,49,68,79,53,52,49,64,75,28,60,57
34,39,35,49,33,60,75,58,48,42,65,46,61,35,56,45,67,43,39,32,56,55,45,34,44,55,64,62
40,25,33,38,73,72,36,16,49,43,29,68,55,40,31,52,53,44,30,18,36,67,44,51,54,45,62,50
81,45,73,53,69,69,41,49,27,61,55,47,39,59,36,74,43,33,47,44,65,70,61,46,49,46,62,67
58,35,53,26,42,54,29,40,62,35,56,41,80,14,57,37,60,39,37,71,47,60,36,59,47,46,81,55
50,53,43,50,41,47,58,54,45,62,46,55,65,50,54,55,51,40,28,45,58,62,45,48,23,45,32,54
75,74,31,28,75,40,22,40,78,44,57,67,56,58,41,46,32,65,80,54,57,59,47,70,43,51,53,52
67,43,42,34,46,52,42,62,31,47,37,53,59,65,56,60,45,50,56,68,73,65,63,38,52,46,31,39
49,84,34,48,58,50,48,38,56,66,48,42,44,58,75,48,60,48,43,59,71,55,71,21,49,41,68,45
63,55,66,58,68,85,51,70,42,48,24,64,27,43,52,52,54,57,38,43,67,60,41,66,59,15,30,55
49,62,13,64,62,32,32,50,21,60,50,51,55,60,55,46,62,69,61,59,50,63,50,48,71,48,59,29
33,45,54,39,51,33,20,57,60,35,69,45,83,34,57,40,55,52,46,25,34,58,53,58,50,32,33,37
45,46,33,68,47,43,38,40,32,29,27,56,59,49,35,52,46,55,32,49,24,41,37,53,56,68,58,98
66,49,55,73,50,31,65,38,51,55,8,24,63,61,50,48,45,46,66,58,73,42,55,53,60,52,47,55
45,60,24,48,59,61,46,35,53,30,15,48,39,61,48,31,42,61,63,32,39,66,41,59,51,48,61,37
67,78,55,68,61,40,62,43,54,50,25,82,60,14,52,84,76,61,78,65,82,31,46,25,59,41,57,58
29,45,23,31,34,30,46,43,33,30,51,53,16,47,79,61,34,72,39,47,33,54,57,43,75,48,34,53
45,45,68,46,66,75,60,58,64,74,28,52,42,51,42,71,37,43,70,53,79,24,54,41,67,62,40,45
76,46,53,77,75,69,62,54,58,62,55,50,53,45,37,38,55,75,24,46,45,69,55,47,31,8,34,76
28,47,49,38,26,51,21,39,64,27,15,38,33,39,62,63,41,61,44,35,34,82,44,41,71,38,68,81
64,44,49,60,58,33,58,27,60,37,59,53,48,42,38,33,62,55,53,42,65,53,47,26,48,48,39,47
71,57,34,50,42,45,63,58,47,55,62,61,77,47,64,63,41,61,53,60,32,41,50,60,65,21,68,82
33,34,54,74,40,29,62,41,39,76,65,29,71,46,48,53,55,32,46,61,37,33,39,49,23,56,73,52
70,58,71,33,58,68,49,48,42,26,44,66,47,53,42,33,30,30,73,83,70,50,34,65,63,36,38,13
33,42,49,46,39,73,68,10,46,56,62,52,27,42,38,41,62,84,11,51,50,55,44,56,35,27,84,33
44,60,65,44,61,62,41,35,58,49,50,53,21,43,73,40,55,64,40,52,29,71,77,42,29,61,17,41
35,38,60,27,57,59,38,58,62,53,19,54,41,55,87,43,59,53,23,75,52,50,23,16,69,38,39,17
68,36,48,35,48,37,44,51,65,73,60,55,52,58,54,26,13,53,58,40,54,53,55,60,52,69,57,42
57,41,48,42,32,54,71,52,41,48,44,43,48,20,55,74,48,55,69,41,66,53,26,55,22,28,73,53
68,49,62,71,25,43,54,40,47,80,13,52,36,31,9,42,27,47,41,58,52,21,46,43,47,74,63,61
60,16,80,53,70,44,67,59,60,48,55,43,56,5,14,85,79,20,86,49,73,62,53,44,46,47,34,67
64,19,70,60,41,35,57,18,57,61,26,50,37,31,36,52,31,65,43,37,71,67,47,61,33,40,29,67
47,14,31,42,40,60,38,53,35,51,64,46,35,45,42,29,51,56,13,35,62,75,46,76,48,30,38,8
34,34,60,26,49,52,32,59,65,34,44,31,27,47,52,74,38,41,48,54,38,60,80,40,28,44,40,29
38,60,25,53,30,65,59,67,68,46,38,56,32,56,41,55,62,50,60,22,66,42,60,63,69,46,74,57
35,44,21,48,60,29,77,56,70,65,26,55,34,47,50,50,64,74,44,32,33,47,44,51,52,26,35,23
54,49,57,51,51,50,37,50,71,49,61,66,63,40,66,37,50,60,51,31,25,15,56,46,49,54,64,45
38,54,59,56,47,48,43,39,47,63,49,46,77,57,61,50,19,59,48,62,34,60,34,41,75,43,51,56
69,66,25,58,38,54,50,49,79,50,33,53,65,44,71,40,41,26,59,36,71,64,64,41,41,38,54,37
54,35,61,44,55,32,66,59,59,33,44,42,43,53,33,47,49,79,55,60,73,68,33,31,65,49,50,23
69,47,28,31,62,33,61,30,33,56,55,55,52,66,47,38,49,57,57,43,49,68,42,44,65,38,48,62
63,37,30,45,49,102,36,62,59,66,31,59,49,58,73,58,60,55,62,59,57,48,51,37,50,26,57,65
39,56,40,53,72,36,75,24,45,79,31,30,64,53,36,66,79,17,55,39,23,23,36,25,63,48,42,83
40,49,47,52,64,61,54,37,49,47,18,28,38,48,50,42,41,37,41,25,47,54,64,34,72,31,57,35
44,42,34,37,44,52,60,32,49,59,54,19,62,44,65,47,52,80,37,63,20,49,69,48,42,40,57,47
55,53,41,39,62,60,34,59,25,38,59,38,35,59,48,70,36,59,37,54,81,49,48,61,41,44,43,55
52,49,60,23,67,64,63,68,28,28,51,21,33,40,54,45,54,71,78,65,1,83,69,38,53,25,62,41
40,65,61,55,74,49,29,47,34,43,60,62,53,57,47,51,42,57,46,44,55,44,66,33,37,73,43,61
56,58,60,31,60,40,42,54,44,52,30,41,41,30,31,72,38,46,73,49,36,45,45,24,45,38,45,41
61,20,23,38,57,49,30,49,29,62,67,37,31,40,61,78,59,63,70,56,34,31,29,58,59,51,54,52
31,65,39,41,58,52,19,52,47,48,75,52,44,58,39,42,45,53,47,33,68,64,44,43,29,65,37,50
49,45,62,50,41,35,54,66,35,45,75,31,54,62,46,26,56,43,61,36,50,41,4,29,62,55,65,41
63,40,39,64,36,58,46,69,46,47,47,42,54,37,45,32,46,69,44,43,43,26,55,19,38,35,37,53
36,12,49,24,48,36,84,63,27,44,75,58,40,31,35,39,48,40,59,48,49,60,63,59,56,52,37,79
42,67,42,49,54,26,69,64,44,37,53,42,72,43,51,59,34,55,53,64,8,20,28,26,61,53,75,39
17,45,37,49,42,29,43,54,58,28,35,41,65,50,46,6,56,65,35,44,24,63,29,36,44,52,71,37
37,52,73,27,42,20,65,46,37,67,74,28,34,64,39,50,52,69,74,68,24,28,43,60,36,69,64,55
75,35,47,22,62,37,32,49,51,56,35,44,53,40,62,56,49,31,54,75,42,63,26,58,16,50,88,35
77,60,33,41,45,46,49,37,34,48,63,60,24,52,19,55,54,35,36,63,58,74,55,70,43,66,49,44
66,58,45,31,43,37,49,50,45,62,41,51,43,34,33,71,38,53,64,50,64,40,60,34,59,58,55,40
34,51,38,48,51,85,57,37,55,60,60,44,45,57,35,46,52,56,59,56,56,39,43,33,57,68,45,54
54,56,75,30,75,95,41,66,58,38,39,74,43,59,59,38,70,56,44,53,28,50,51,31,34,59,40,34
55,44,58,70,71,61,33,35,28,41,47,54,60,43,67,74,58,30,43,56,26,35,63,34,40,43,35,80
42,44,71,65,65,37,71,72,45,26,34,83,48,71,33,53,69,34,43,54,47,28,23,46,65,58,59,64
62,49,64,76,54,54,57,20,40,29,36,44,52,63,78,40,23,42,50,52,35,51,22,71,54,61,55,41
77,83,30,41,57,61,78,34,48,38,50,56,68,21,21,44,37,46,37,69,35,63,31,48,39,53,43,37
48,71,53,50,37,47,76,77,48,59,51,64,27,29,77,60,33,44,41,70,48,39,24,50,50,64,47,47
40,75,35,43,70,58,45,47,40,52,46,35,44,35,24,50,71,18,68,61,68,63,31,55,54,64,51,43
63,47,53,69,31,29,52,68,29,86,62,31,37,68,43,39,56,30,14,24,37,63,54,64,51,58,51,64
67,45,60,45,26,46,48,54,40,47,68,35,53,40,42,65,72,65,43,55,23,60,54,49,53,69,73,58
74,46,80,55,77,52,60,44,71,54,32,61,53,62,41,55,58,47,40,70,60,65,26,60,50,45,74,47
82,46,5,50,72,52,60,61,44,53,55,70,59,42,48,66,42,86,81,43,71,51,68,34,77,67,35,65
62,53,52,48,35,42,46,50,47,59,38,52,44,38,50,51,47,43,63,70,49,20,49,59,43,54,57,31
79,44,86,36,46,51,71,55,58,57,67,53,72,30,35,69,28,46,38,54,25,72,40,51,70,54,57,-2
46,27,34,48,61,58,52,41,37,47,68,22,28,45,29,30,43,35,33,55,60,35,55,34,86,49,55,84
85,38,50,24,46,53,63,52,69,49,58,38,60,45,69,53,62,54,67,38,54,73,59,39,66,63,68,43
45,18,46,29,67,70,33,48,48,41,57,56,44,24,79,65,48,48,52,75,63,52,51,43,53,43,36,57
38,56,44,65,55,57,38,56,65,63,39,59,41,72,51,37,46,44,73,56,33,69,45,55,64,69,53,30
20,60,11,67,78,44,53,15,37,21,40,31,73,48,69,31,32,37,16,56,43,65,49,70,42,51,42,27
72,60,33,25,53,53,31,47,68,44,58,54,38,66,30,40,66,67,70,49,49,35,51,57,48,46,80,68
36,30,34,35,45,60,42,50,64,37,25,28,43,55,46,49,48,40,53,46,34,63,51,46,33,46,49,39
61,49,46,48,49,67,37,73,66,72,60,66,61,39,56,45,62,72,40,36,51,32,55,37,59,74,58,51
33,59,37,26,48,50,29,70,56,40,25,65,82,55,49,34,49,45,43,30,49,60,42,74,26,60,46,40
55,24,55,46,53,34,56,19,35,32,39,22,54,26,50,43,57,66,50,58,52,18,55,73,60,32,46,53
42,62,42,57,32,43,60,61,51,48,65,38,41,40,73,54,81,54,35,73,41,53,27,55,62,35,57,36
18,76,37,75,50,42,44,51,49,45,38,51,59,24,35,45,54,51,28,47,60,46,32,53,53,68,44,53
62,49,47,69,44,76,41,38,12,52,48,37,55,30,48,55,24,20,59,58,42,19,44,41,60,40,29,57
62,28,57,55,95,64,46,42,53,61,41,46,45,58,53,58,48,20,35,37,84,65,15,44,41,49,29,36
58,41,35,61,42,69,45,48,49,44,32,73,65,74,65,61,28,51,39,36,59,62,61,63,42,80,59,71
71,54,54,48,49,49,24,54,80,61,43,41,72,36,54,44,42,33,88,36,30,59,41,77,26,73,37,20
45,65,58,54,52,54,25,65,27,50,56,36,58,65,38,42,49,72,54,60,49,60,74,49,62,52,78,57
77,25,52,69,63,70,16,42,46,64,36,51,70,34,43,47,60,36,55,41,74,60,23,53,64,42,38,40
59,31,69,59,58,72,56,61,41,45,20,59,43,35,63,57,41,27,54,35,22,44,37,59,47,46,26,39
37,25,39,53,47,52,60,44,35,64,30,60,66,54,56,28,52,61,39,66,48,52,40,51,20,40,68,32
63,37,63,35,87,75,34,60,52,91,62,67,55,28,20,24,52,47,69,70,68,32,75,61,46,53,55,74
51,63,25,72,43,22,56,45,44,38,66,43,69,79,31,19,32,59,46,29,11,64,52,47,48,65,55,59
77,50,52,80,51,46,46,42,34,63,33,40,40,53,43,46,61,68,50,52,37,56,71,31,67,42,37,72
60,41,54,31,41,65,58,53,53,68,50,15,52,66,37,39,61,36,44,47,64,34,38,51,71,33,55,59
55,46,17,35,59,70,66,51,46,32,49,45,45,32,62,45,43,37,40,54,25,22,69,47,62,64,66,51
47,34,6,63,33,40,63,52,66,47,49,47,31,36,70,60,49,55,41,51,29,35,69,43,28,35,34,57
32,34,35,34,51,30,67,69,55,38,28,50,48,55,42,19,46,39,45,44,27,44,36,69,28,43,61,60
35,21,58,40,40,59,63,40,82,76,75,35,40,71,46,51,50,54,58,84,43,47,53,66,58,52,50,21
69,61,51,51,57,61,40,39,40,47,72,71,84,41,89,57,35,60,51,58,57,46,60,50,46,12,58,46
64,39,45,58,59,41,48,43,39,33,61,51,44,41,47,60,54,33,77,43,46,42,28,20,44,51,68,54
48,57,19,9,48,48,56,20,41,10,38,50,49,38,47,38,62,66,46,41,31,42,49,39,58,50,40,52
61,47,60,50,64,86,27,46,36,47,66,58,65,58,34,56,21,79,53,54,51,64,61,61,43,47,56,46
59,64,27,62,49,44,46,38,55,39,46,75,33,56,82,54,45,30,68,48,37,35,73,78,31,50,23,42
50,31,33,66,48,48,64,20,44,19,55,62,63,34,55,33,73,47,45,48,34,43,55,76,61,53,38,67
43,48,30,21,44,76,47,47,31,58,38,58,52,52,35,45,80,39,50,30,32,48,31,49,36,42,44,40
51,32,41,79,51,21,44,53,38,52,37,49,48,47,83,60,64,25,35,65,57,60,21,76,20,43,48,57
56,45,52,45,59,51,50,52,58,27,51,45,42,50,67,29,62,72,52,49,65,35,68,26,42,59,78,31
54,60,43,60,48,44,69,55,69,36,50,49,64,49,47,32,46,53,29,48,54,49,68,39,16,86,64,84
50,49,48,41,29,57,56,46,37,51,11,37,56,81,32,59,63,69,49,77,68,45,48,43,26,41,23,38
59,61,76,38,53,51,57,50,52,64,64,31,56,77,63,74,33,46,43,77,57,44,45,48,39,68,23,47
39,38,57,35,37,57,52,57,83,45,52,30,41,62,57,46,73,74,44,53,53,22,50,84,70,52,56,54
38,68,28,19,74,53,54,44,45,37,46,71,39,59,54,30,79,40,67,63,59,45,95,65,48,59,61,52
71,59,32,56,75,28,50,66,64,20,36,39,47,60,71,56,54,48,56,33,54,68,59,46,44,94,81,74
54,33,36,31,44,36,35,46,48,36,60,62,68,46,28,41,49,51,23,51,72,54,47,39,63,63,47,32
22,71,61,39,39,47,58,59,41,43,45,61,70,32,50,65,26,36,46,49,54,42,54,46,74,68,57,37
37,42,48,45,33,51,49,27,53,68,61,40,45,58,43,26,38,54,42,72,26,29,61,12,47,62,46,61
57,53,75,12,68,76,24,58,41,30,48,42,38,22,52,51,54,54,76,57,66,36,57,60,42,46,56,73
94,57,46,65,34,32,54,55,69,51,54,39,37,52,54,45,37,47,54,60,64,30,33,40,59,52,52,43
59,54,34,36,80,46,36,40,45,35,65,59,56,36,64,53,52,35,41,42,38,45,47,49,66,38,47,56
46,52,75,75,51,61,49,32,73,51,51,42,32,53,27,45,37,24,41,42,30,75,56,55,45,27,64,47
46,65,49,58,59,52,32,44,42,17,65,39,26,42,43,19,72,16,37,42,55,57,50,35,52,43,42,34
